date,city,country,temperature_c,feels_like_c,humidity_pct,wind_speed_kmh,wind_direction,precipitation_mm,weather_condition,visibility_km,uv_index,pressure_hpa,station_id
2024-01-01,Genova,IT,8.2,5.1,76,18.4,SW,0.0,Partly Cloudy,12.0,2,1019.8,GE001
2024-01-02,Genova,IT,9.4,6.8,72,15.2,W,0.0,Sunny,20.0,3,1022.4,GE001
2024-01-03,Genova,IT,7.6,3.8,80,22.6,NE,6.4,Rain,5.2,1,1010.2,GE001
2024-01-04,Genova,IT,6.1,1.9,86,28.4,NE,14.8,Heavy Rain,2.4,1,1002.7,GE001
2024-01-05,Genova,IT,5.4,0.8,90,32.1,N,18.6,Heavy Rain,1.2,1,997.3,GE001
2024-01-06,Genova,IT,4.8,0.1,92,30.5,NW,10.2,Rain,2.8,1,1001.5,GE001
2024-01-07,Genova,IT,7.1,3.9,78,20.3,W,2.4,Drizzle,7.4,2,1008.9,GE001
2024-01-08,Genova,IT,10.5,7.8,65,14.2,SW,0.0,Sunny,22.0,3,1018.6,GE001
2024-01-09,Genova,IT,12.8,10.1,61,12.5,S,0.0,Sunny,28.0,4,1021.3,GE001
2024-01-10,Genova,IT,11.4,8.6,64,15.8,SE,0.0,Partly Cloudy,18.0,3,1017.8,GE001
2024-01-11,Genova,IT,9.2,6.1,72,19.4,E,3.2,Drizzle,8.6,2,1012.4,GE001
2024-01-12,Genova,IT,7.3,3.5,82,24.6,NE,8.8,Rain,4.2,1,1006.1,GE001
2024-01-13,Genova,IT,5.8,1.2,88,28.9,N,16.4,Heavy Rain,1.8,1,999.5,GE001
2024-01-14,Genova,IT,4.9,0.2,93,26.7,NW,20.1,Heavy Rain,1.0,1,995.8,GE001
2024-01-15,Genova,IT,6.4,2.5,85,22.1,W,7.6,Rain,5.4,1,1003.2,GE001
2024-02-01,Genova,IT,11.2,8.4,67,16.8,SW,0.0,Sunny,24.0,4,1016.9,GE001
2024-02-02,Genova,IT,13.6,11.2,62,13.4,S,0.0,Sunny,28.0,5,1020.1,GE001
2024-02-03,Genova,IT,15.1,12.8,58,11.6,SW,0.0,Sunny,30.0,6,1022.5,GE001
2024-02-04,Genova,IT,14.3,11.9,61,14.2,W,0.0,Partly Cloudy,22.0,5,1019.8,GE001
2024-02-05,Genova,IT,12.1,9.4,66,17.5,W,1.8,Partly Cloudy,16.0,4,1014.6,GE001
2024-02-06,Genova,IT,9.8,6.4,73,21.8,NW,5.4,Cloudy,9.2,3,1009.3,GE001
2024-02-07,Genova,IT,8.2,4.5,80,26.4,N,9.6,Rain,5.0,2,1004.7,GE001
2024-02-08,Genova,IT,6.9,2.8,87,30.2,NE,15.8,Heavy Rain,2.4,1,998.9,GE001
2024-02-09,Genova,IT,6.5,2.1,89,28.6,NE,11.4,Rain,3.8,1,1002.1,GE001
2024-02-10,Genova,IT,9.1,6.2,75,19.8,E,2.6,Drizzle,11.0,3,1009.8,GE001
2024-03-01,Genova,IT,14.8,12.4,62,15.4,SW,0.0,Sunny,28.0,6,1018.7,GE001
2024-03-02,Genova,IT,17.2,14.9,57,12.8,S,0.0,Sunny,30.0,7,1021.4,GE001
2024-03-03,Genova,IT,18.8,16.5,54,11.2,SW,0.0,Sunny,30.0,8,1023.1,GE001
2024-03-04,Genova,IT,18.1,15.7,57,13.6,W,0.0,Sunny,28.0,7,1020.8,GE001
2024-03-05,Genova,IT,15.6,12.8,64,17.2,W,2.8,Partly Cloudy,20.0,5,1014.9,GE001
2024-03-15,Genova,IT,19.4,17.1,59,13.2,S,0.0,Sunny,30.0,8,1020.6,GE001
2024-03-16,Genova,IT,20.8,18.5,56,11.8,SW,0.0,Sunny,30.0,8,1022.3,GE001
2024-04-01,Genova,IT,21.6,19.4,60,14.2,SW,0.0,Sunny,30.0,9,1018.9,GE001
2024-04-02,Genova,IT,22.9,20.7,57,12.6,S,0.0,Sunny,30.0,10,1020.5,GE001
2024-04-10,Genova,IT,17.2,14.4,75,32.4,NW,28.6,Thunderstorm,4.2,5,1003.8,GE001
2024-04-11,Genova,IT,15.8,12.9,78,28.1,N,18.4,Heavy Rain,3.6,4,1001.2,GE001
2024-04-20,Genova,IT,23.5,21.3,61,13.4,SW,0.0,Sunny,30.0,9,1019.7,GE001
2024-05-01,Genova,IT,26.1,24.5,63,14.8,S,0.0,Sunny,30.0,10,1018.6,GE001
2024-05-15,Genova,IT,29.4,28.1,57,12.1,SW,0.0,Sunny,30.0,11,1020.4,GE001
2024-05-20,Genova,IT,22.6,20.2,76,34.8,NW,32.4,Thunderstorm,5.8,7,1002.8,GE001
2024-06-01,Genova,IT,30.8,30.2,59,13.4,SW,0.0,Sunny,30.0,11,1018.8,GE001
2024-06-15,Genova,IT,34.2,35.1,53,10.2,S,0.0,Sunny,30.0,11,1020.6,GE001
2024-06-21,Genova,IT,36.8,38.1,49,8.4,SW,0.0,Sunny,30.0,11,1019.2,GE001
2024-07-01,Genova,IT,35.4,36.5,51,9.2,S,0.0,Sunny,30.0,11,1018.1,GE001
2024-07-15,Genova,IT,37.8,39.2,47,7.6,SW,0.0,Sunny,30.0,11,1019.5,GE001
