date,city,country,temperature_c,feels_like_c,humidity_pct,wind_speed_kmh,wind_direction,precipitation_mm,weather_condition,visibility_km,uv_index,pressure_hpa,station_id
2024-01-01,Milan,IT,2.3,−1.1,78,12.4,NW,0.0,Fog,0.8,1,1021.3,MI001
2024-01-02,Milan,IT,3.1,0.2,72,9.8,N,0.0,Cloudy,4.2,1,1018.7,MI001
2024-01-03,Milan,IT,1.8,−2.5,85,15.6,NE,2.4,Rain,2.1,1,1009.4,MI001
2024-01-04,Milan,IT,0.5,−3.8,88,18.2,NE,5.6,Heavy Rain,1.4,1,1002.1,MI001
2024-01-05,Milan,IT,−1.2,−5.9,91,20.1,N,8.2,Snow,0.6,1,998.3,MI001
2024-01-06,Milan,IT,−2.4,−7.3,89,22.5,NW,3.1,Snow,0.9,1,1001.8,MI001
2024-01-07,Milan,IT,0.8,−2.1,80,14.3,W,0.0,Partly Cloudy,6.5,2,1010.5,MI001
2024-01-08,Milan,IT,4.2,1.8,68,11.2,SW,0.0,Sunny,15.0,2,1018.9,MI001
2024-01-09,Milan,IT,6.1,3.5,65,10.5,S,0.0,Sunny,20.0,3,1020.2,MI001
2024-01-10,Milan,IT,5.4,2.0,70,13.8,SE,0.0,Partly Cloudy,12.4,2,1016.6,MI001
2024-01-11,Milan,IT,3.9,0.1,75,16.4,E,1.2,Drizzle,5.8,1,1011.3,MI001
2024-01-12,Milan,IT,2.1,−1.9,82,18.9,NE,3.8,Rain,3.2,1,1005.8,MI001
2024-01-13,Milan,IT,1.0,−3.5,87,21.3,N,6.7,Heavy Rain,1.8,1,999.4,MI001
2024-01-14,Milan,IT,−0.5,−4.9,92,19.8,NW,9.3,Snow,0.5,1,996.2,MI001
2024-01-15,Milan,IT,−1.8,−6.2,90,17.5,N,4.2,Snow,0.7,1,1000.1,MI001
2024-02-01,Milan,IT,5.2,2.3,70,12.1,SW,0.0,Partly Cloudy,10.5,3,1015.4,MI001
2024-02-02,Milan,IT,7.8,4.9,63,9.5,S,0.0,Sunny,22.0,4,1019.8,MI001
2024-02-03,Milan,IT,9.1,6.2,60,8.8,SW,0.0,Sunny,25.0,4,1022.1,MI001
2024-02-04,Milan,IT,8.4,5.1,65,11.4,W,0.0,Sunny,20.0,4,1020.5,MI001
2024-02-05,Milan,IT,6.9,3.4,68,13.7,W,0.8,Partly Cloudy,15.5,3,1016.2,MI001
2024-02-06,Milan,IT,5.3,1.8,74,16.2,NW,2.4,Cloudy,8.4,2,1010.8,MI001
2024-02-07,Milan,IT,4.1,0.2,80,18.5,N,4.1,Rain,4.2,1,1005.3,MI001
2024-02-08,Milan,IT,3.2,−1.3,85,20.1,NE,7.8,Heavy Rain,2.1,1,999.7,MI001
2024-02-09,Milan,IT,2.8,−1.8,87,19.4,NE,5.3,Rain,3.5,1,1002.4,MI001
2024-02-10,Milan,IT,4.5,1.2,76,15.8,E,1.1,Drizzle,7.6,2,1008.9,MI001
2024-03-01,Milan,IT,10.2,7.8,62,11.3,SW,0.0,Sunny,28.0,5,1018.3,MI001
2024-03-02,Milan,IT,12.5,9.9,58,9.2,S,0.0,Sunny,30.0,6,1021.6,MI001
2024-03-03,Milan,IT,14.1,11.3,55,8.5,SW,0.0,Sunny,30.0,6,1022.8,MI001
2024-03-04,Milan,IT,13.8,10.8,58,10.1,W,0.0,Partly Cloudy,25.0,5,1020.1,MI001
2024-03-05,Milan,IT,11.4,8.2,64,13.6,W,1.4,Partly Cloudy,18.5,4,1014.7,MI001
2024-03-15,Milan,IT,15.3,12.8,59,10.8,S,0.0,Sunny,30.0,6,1020.4,MI001
2024-03-16,Milan,IT,16.7,14.1,56,9.4,SW,0.0,Sunny,30.0,7,1022.1,MI001
2024-04-01,Milan,IT,17.2,14.9,61,12.5,SW,0.0,Sunny,30.0,7,1018.6,MI001
2024-04-02,Milan,IT,18.5,16.2,58,11.8,S,0.0,Sunny,30.0,8,1020.2,MI001
2024-04-10,Milan,IT,14.8,11.4,70,18.3,NW,12.4,Thunderstorm,5.2,4,1005.1,MI001
2024-04-11,Milan,IT,13.2,10.1,72,16.7,N,8.6,Heavy Rain,4.8,3,1002.8,MI001
2024-04-20,Milan,IT,20.1,18.4,60,10.2,SW,0.0,Sunny,30.0,8,1019.8,MI001
2024-05-01,Milan,IT,22.4,20.8,62,11.4,S,0.0,Sunny,30.0,9,1018.3,MI001
2024-05-15,Milan,IT,25.8,24.1,55,9.8,SW,0.0,Sunny,30.0,10,1020.1,MI001
2024-05-20,Milan,IT,19.3,16.9,72,19.5,NW,18.7,Thunderstorm,6.4,6,1003.2,MI001
2024-06-01,Milan,IT,27.4,26.1,58,10.5,SW,0.0,Sunny,30.0,11,1018.5,MI001
2024-06-15,Milan,IT,31.2,30.8,52,8.3,S,0.0,Sunny,30.0,11,1020.3,MI001
2024-06-21,Milan,IT,34.5,35.2,48,6.2,SW,0.0,Sunny,30.0,11,1018.9,MI001
2024-07-01,Milan,IT,33.8,34.5,50,7.4,S,0.0,Sunny,30.0,11,1017.6,MI001
2024-07-15,Milan,IT,36.2,37.1,45,5.8,SW,0.0,Sunny,30.0,11,1019.2,MI001
2024-07-25,Milan,IT,28.4,27.8,68,22.4,NW,24.6,Thunderstorm,8.2,8,1004.7,MI001
2024-08-01,Milan,IT,34.1,35.0,48,6.5,S,0.0,Sunny,30.0,10,1018.4,MI001
2024-08-15,Milan,IT,32.6,33.4,51,7.8,SW,0.0,Sunny,30.0,10,1019.1,MI001
2024-09-01,Milan,IT,27.8,27.2,60,11.2,SW,0.0,Sunny,30.0,8,1018.8,MI001
2024-09-15,Milan,IT,23.4,22.1,65,13.5,W,2.8,Partly Cloudy,22.0,6,1015.3,MI001
2024-10-01,Milan,IT,18.2,16.4,68,14.8,W,4.2,Partly Cloudy,18.0,4,1013.7,MI001
2024-10-15,Milan,IT,14.5,11.9,74,17.3,NW,8.6,Cloudy,10.5,3,1009.2,MI001
2024-11-01,Milan,IT,10.3,7.2,78,16.4,N,5.4,Cloudy,7.8,2,1011.5,MI001
2024-11-15,Milan,IT,7.1,3.8,83,18.9,NE,9.2,Rain,4.2,1,1006.3,MI001
2024-12-01,Milan,IT,4.8,1.5,80,14.2,NW,3.6,Foggy,1.8,1,1014.8,MI001
2024-12-15,Milan,IT,2.4,−1.2,85,16.8,N,6.4,Rain,3.1,1,1008.4,MI001
2024-12-25,Milan,IT,1.2,−3.4,88,19.5,NE,0.0,Foggy,0.4,1,1016.2,MI001
2024-12-31,Milan,IT,3.8,0.5,76,12.8,NW,0.0,Cloudy,6.2,1,1018.5,MI001
