date,city,country,temperature_c,feels_like_c,humidity_pct,wind_speed_kmh,wind_direction,precipitation_mm,weather_condition,visibility_km,uv_index,pressure_hpa,station_id
2024-01-01,Rome,IT,8.4,5.8,72,14.2,NW,0.0,Partly Cloudy,15.0,2,1020.5,RM001
2024-01-02,Rome,IT,9.1,6.5,68,12.8,W,0.0,Sunny,22.0,3,1022.1,RM001
2024-01-03,Rome,IT,7.8,4.2,75,17.4,NE,3.2,Cloudy,8.5,2,1012.8,RM001
2024-01-04,Rome,IT,6.5,2.8,82,20.6,NE,8.4,Rain,4.2,1,1005.3,RM001
2024-01-05,Rome,IT,5.2,1.1,88,22.8,N,12.6,Heavy Rain,2.1,1,999.8,RM001
2024-01-06,Rome,IT,4.8,0.4,90,24.1,NW,6.8,Rain,3.5,1,1002.4,RM001
2024-01-07,Rome,IT,7.3,4.2,78,16.5,W,1.4,Drizzle,8.8,2,1009.7,RM001
2024-01-08,Rome,IT,10.2,7.8,66,12.3,SW,0.0,Sunny,25.0,3,1018.2,RM001
2024-01-09,Rome,IT,12.4,9.9,62,10.8,S,0.0,Sunny,30.0,4,1021.5,RM001
2024-01-10,Rome,IT,11.8,9.2,65,13.1,SE,0.0,Partly Cloudy,20.0,3,1018.9,RM001
2024-01-11,Rome,IT,9.6,6.8,72,15.8,E,2.1,Drizzle,10.5,2,1013.4,RM001
2024-01-12,Rome,IT,7.4,4.1,80,19.2,NE,5.6,Rain,5.8,1,1007.2,RM001
2024-01-13,Rome,IT,6.1,2.3,86,21.7,N,9.8,Heavy Rain,2.8,1,1001.5,RM001
2024-01-14,Rome,IT,5.0,0.8,91,20.4,NW,11.2,Heavy Rain,1.9,1,997.8,RM001
2024-01-15,Rome,IT,6.8,3.1,84,18.6,W,4.5,Rain,6.4,1,1002.6,RM001
2024-02-01,Rome,IT,11.5,8.9,65,13.2,SW,0.0,Sunny,28.0,4,1017.8,RM001
2024-02-02,Rome,IT,13.8,11.4,60,10.5,S,0.0,Sunny,30.0,5,1020.4,RM001
2024-02-03,Rome,IT,15.2,12.8,57,9.2,SW,0.0,Sunny,30.0,6,1022.7,RM001
2024-02-04,Rome,IT,14.6,12.1,59,11.8,W,0.0,Partly Cloudy,25.0,5,1020.9,RM001
2024-02-05,Rome,IT,12.8,10.2,63,14.3,W,1.2,Partly Cloudy,18.0,4,1016.5,RM001
2024-02-06,Rome,IT,10.4,7.5,70,17.8,NW,3.8,Cloudy,10.5,3,1011.2,RM001
2024-02-07,Rome,IT,8.9,5.6,78,20.4,N,6.2,Rain,6.4,2,1006.4,RM001
2024-02-08,Rome,IT,7.5,3.8,85,22.8,NE,10.4,Heavy Rain,3.2,1,1000.8,RM001
2024-02-09,Rome,IT,7.1,3.2,87,21.5,NE,7.8,Rain,4.8,1,1003.2,RM001
2024-02-10,Rome,IT,9.8,6.9,74,16.4,E,1.8,Drizzle,12.5,3,1010.1,RM001
2024-03-01,Rome,IT,15.4,13.1,60,12.8,SW,0.0,Sunny,30.0,6,1019.5,RM001
2024-03-02,Rome,IT,17.8,15.4,56,10.4,S,0.0,Sunny,30.0,7,1022.1,RM001
2024-03-03,Rome,IT,19.2,16.9,53,9.1,SW,0.0,Sunny,30.0,8,1023.4,RM001
2024-03-04,Rome,IT,18.5,16.2,56,11.5,W,0.0,Sunny,30.0,7,1021.6,RM001
2024-03-05,Rome,IT,16.2,13.5,62,14.8,W,2.1,Partly Cloudy,22.0,5,1015.8,RM001
2024-03-15,Rome,IT,20.1,17.8,57,11.4,S,0.0,Sunny,30.0,8,1021.2,RM001
2024-03-16,Rome,IT,21.5,19.2,54,10.2,SW,0.0,Sunny,30.0,8,1022.8,RM001
2024-04-01,Rome,IT,22.4,20.1,58,12.8,SW,0.0,Sunny,30.0,9,1019.4,RM001
2024-04-02,Rome,IT,23.8,21.5,55,11.5,S,0.0,Sunny,30.0,10,1021.1,RM001
2024-04-10,Rome,IT,18.4,15.8,72,20.5,NW,16.8,Thunderstorm,6.5,5,1006.2,RM001
2024-04-11,Rome,IT,17.1,14.5,74,18.4,N,11.4,Heavy Rain,5.8,4,1003.7,RM001
2024-04-20,Rome,IT,24.8,22.5,58,11.2,SW,0.0,Sunny,30.0,9,1020.5,RM001
2024-05-01,Rome,IT,27.2,25.6,60,12.1,S,0.0,Sunny,30.0,10,1019.1,RM001
2024-05-15,Rome,IT,30.5,29.2,54,10.4,SW,0.0,Sunny,30.0,11,1020.8,RM001
2024-05-20,Rome,IT,23.8,21.5,74,22.8,NW,22.4,Thunderstorm,7.8,7,1004.5,RM001
2024-06-01,Rome,IT,32.1,31.4,56,11.2,SW,0.0,Sunny,30.0,11,1019.2,RM001
2024-06-15,Rome,IT,35.8,36.5,50,8.8,S,0.0,Sunny,30.0,11,1021.4,RM001
2024-06-21,Rome,IT,38.2,39.5,46,7.1,SW,0.0,Sunny,30.0,11,1019.8,RM001
2024-07-01,Rome,IT,37.5,38.4,48,7.8,S,0.0,Sunny,30.0,11,1018.3,RM001
2024-07-15,Rome,IT,39.8,41.2,43,6.2,SW,0.0,Sunny,30.0,11,1019.8,RM001
2024-07-25,Rome,IT,31.2,30.8,66,24.5,NW,28.4,Thunderstorm,9.4,9,1005.8,RM001
2024-08-01,Rome,IT,38.4,39.8,46,7.1,S,0.0,Sunny,30.0,11,1019.2,RM001
2024-08-15,Rome,IT,36.5,37.8,49,8.4,SW,0.0,Sunny,30.0,10,1020.1,RM001
2024-09-01,Rome,IT,31.2,30.5,58,12.5,SW,0.0,Sunny,30.0,9,1019.5,RM001
2024-09-15,Rome,IT,27.4,26.2,63,14.8,W,4.2,Partly Cloudy,24.0,7,1016.2,RM001
2024-10-01,Rome,IT,22.8,21.2,66,16.2,W,5.8,Partly Cloudy,20.0,5,1014.8,RM001
2024-10-15,Rome,IT,18.5,16.2,72,19.4,NW,12.4,Cloudy,12.5,4,1010.5,RM001
2024-11-01,Rome,IT,14.2,11.5,76,18.6,N,7.8,Cloudy,9.5,3,1012.8,RM001
2024-11-15,Rome,IT,11.4,8.5,82,21.4,NE,12.6,Rain,6.8,2,1007.4,RM001
2024-12-01,Rome,IT,9.8,6.8,78,16.8,NW,4.8,Foggy,5.2,2,1015.6,RM001
2024-12-15,Rome,IT,7.5,4.2,84,19.2,N,8.6,Rain,4.8,1,1009.2,RM001
2024-12-25,Rome,IT,6.2,2.8,82,15.4,NW,0.0,Partly Cloudy,12.0,2,1017.8,RM001
2024-12-31,Rome,IT,8.4,5.8,74,14.2,W,0.0,Cloudy,10.5,2,1019.3,RM001
