station_id,station_name,city,region,country,latitude,longitude,elevation_m,station_type,operator,installation_date,last_maintenance,data_quality_flag,timezone,wmo_id,is_active
MI001,Milano Linate,Milan,Lombardy,IT,45.4408,9.2764,103,Synoptic,ENAV,1948-01-01,2024-06-15,A,Europe/Rome,16080,true
MI002,Milano Malpensa,Milan,Lombardy,IT,45.6306,8.7231,211,Synoptic,ENAV,1956-03-12,2024-05-20,A,Europe/Rome,16044,true
MI003,Milano Città Studi,Milan,Lombardy,IT,45.4785,9.2337,122,Urban,ARPA Lombardia,2005-09-01,2024-08-10,B,Europe/Rome,,true
RM001,Roma Fiumicino,Rome,Lazio,IT,41.8003,12.2389,4,Synoptic,ENAV,1962-05-10,2024-07-08,A,Europe/Rome,16232,true
RM002,Roma Ciampino,Rome,Lazio,IT,41.7994,12.5949,105,Synoptic,ENAV,1958-11-20,2024-06-30,A,Europe/Rome,16239,true
RM003,Roma Collegio Romano,Rome,Lazio,IT,41.8979,12.4797,58,Urban,CNR,2001-04-22,2024-09-01,B,Europe/Rome,,true
VE001,Venezia Tessera,Venice,Veneto,IT,45.5053,12.3519,2,Synoptic,ENAV,1950-07-15,2024-05-12,A,Europe/Rome,16110,true
VE002,Venezia Marghera,Venice,Veneto,IT,45.4712,12.2358,5,Industrial,ARPA Veneto,1998-02-14,2024-07-22,B,Europe/Rome,,true
NA001,Napoli Capodichino,Naples,Campania,IT,40.8860,14.2908,72,Synoptic,ENAV,1944-09-01,2024-08-05,A,Europe/Rome,16289,true
NA002,Napoli Posillipo,Naples,Campania,IT,40.8160,14.2072,181,Urban,CNR,2003-11-30,2024-06-18,B,Europe/Rome,,true
TO001,Torino Caselle,Turin,Piedmont,IT,45.2088,7.6497,301,Synoptic,ENAV,1954-03-28,2024-07-15,A,Europe/Rome,16061,true
TO002,Torino Città,Turin,Piedmont,IT,45.0703,7.6869,237,Urban,ARPA Piemonte,2000-06-10,2024-08-28,B,Europe/Rome,,true
BO001,Bologna Borgo Panigale,Bologna,Emilia-Romagna,IT,44.5325,11.2886,38,Synoptic,ENAV,1952-01-18,2024-06-25,A,Europe/Rome,16144,true
FI001,Firenze Peretola,Florence,Tuscany,IT,43.8103,11.2050,37,Synoptic,ENAV,1955-08-22,2024-09-10,A,Europe/Rome,16189,true
FI002,Firenze Ximeniano,Florence,Tuscany,IT,43.7742,11.2594,67,Urban,UNIFI,1813-01-01,2024-04-30,A,Europe/Rome,,true
PA001,Palermo Boccadifalco,Palermo,Sicily,IT,38.1122,13.3131,109,Synoptic,ENAV,1949-12-05,2024-07-01,A,Europe/Rome,16367,true
CA001,Cagliari Elmas,Cagliari,Sardinia,IT,39.2514,9.0542,4,Synoptic,ENAV,1947-06-20,2024-05-28,A,Europe/Rome,16420,true
GE001,Genova Sestri,Genoa,Liguria,IT,44.4133,8.8483,3,Synoptic,ENAV,1951-10-14,2024-08-18,A,Europe/Rome,16113,true
